Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/03  07:30:00,,3.05,,,,,,,30058872.11835094,44453452.63596368 
 01/03  07:45:00,,3.175,,,,,,,24465894.11835094,43031825.6266199 
 01/03  08:00:00,,3.3,21.099634389121204,22.45634826819429,15.559713899809382,30.045820213058485,10.803706775838217,36.804435166912757,24465894.11835094,41963509.037447448 
 01/03  08:15:00,,3.4499999999999999,,,,,,,36077583.704690109,37849333.96788159 
 01/03  08:30:00,,3.5999999999999998,,,,,,,36077583.704690109,36605240.10438505 
 01/03  08:45:00,,3.75,,,,,,,36000732.211236957,35494113.91709791 
 01/03  09:00:00,,3.9,21.09997344476856,24.085418606340196,15.559751114041476,33.693193449628797,11.154865921653056,37.011640147443738,36000732.211236957,34398637.88072845 
 01/03  09:15:00,,3.9,,,,,,,39083831.48340839,31045710.024748569 
 01/03  09:30:00,,3.9,,,,,,,39045405.73668181,30428801.240736445 
 01/03  09:45:00,,3.9,,,,,,,39006979.98995523,29938896.427861815 
 01/03  10:00:00,,3.9,21.100013250992889,26.042889705361234,15.559824097936037,36.71206253020736,11.431206637573789,37.792190408201239,39006979.98995523,29482975.557782957 
 01/03  10:15:00,,4.025,,,,,,,37079777.14347164,29584409.021359426 
 01/03  10:30:00,,4.15,,,,,,,37041351.39674506,28604443.778139324 
 01/03  10:45:00,,4.275,,,,,,,37041351.39674506,27612728.30444991 
 01/03  11:00:00,,4.4,21.100042836472395,27.74669300861948,15.559881431987487,38.92477097387034,11.62541490919066,38.976872903122217,37041351.39674506,26660125.163619725 
 01/03  11:15:00,,4.4,,,,,,,37041351.39674506,26179747.96064163 
 01/03  11:30:00,,4.4,,,,,,,34343809.58865776,25735707.742231788 
 01/03  11:45:00,,4.4,,,,,,,34343809.58865776,25399594.189644159 
